term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ATHL,201,ATHL 201,SOPHOMORE SUCCESS: BEACHAMPION,1,,01,11227,Spring_2026|ATHL 201|01|11227,FALSE,\N,,LEC,NA,NA,available,NA,Vogel B,Class instruction is: Face to Face - On Campus.
Spring_2026,ATHL,301,ATHL 301,JUNIOR JOURNEY: BEACHAMPION,1,,01,11228,Spring_2026|ATHL 301|01|11228,FALSE,\N,,LEC,NA,NA,available,NA,Edlin T,Class instruction is: Face to Face - On Campus.
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,01,2895,Spring_2026|S/I 60|01|2895,FALSE,\N,,LAB,TuTh,9:30-10:45AM,available,LA2-202,Tran T,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 201, 01, #5752 (TTh 8:00-8:50)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,02,2896,Spring_2026|S/I 60|02|2896,FALSE,\N,,LAB,TuTh,3:30-4:45PM,available,LA2-107,Arensdorf E,"Class instruction is: Face to Face - On Campus.Must enroll in BIO 205, 01A,#2818 (TuTh 2:00pm-3:15pm)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,03,2897,Spring_2026|S/I 60|03|2897,FALSE,\N,,LAB,MW,12:30-1:45PM,,SSC-030,De Guzman K,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 207, 01A, #6956 (MW 2:00-3:15PM)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,04,2898,Spring_2026|S/I 60|04|2898,FALSE,\N,,LAB,MW,3:30-4:45PM,,SSC-030,Rivera O,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 207, 01A, #6956(MW 2:00-3:15PM)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,05,2921,Spring_2026|S/I 60|05|2921,FALSE,\N,,LAB,TuTh,9:30-10:45AM,,HC-134,Yoshimura A,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL207, 08B, #1090 (TuTh 11:00-12:15)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,06,2918,Spring_2026|S/I 60|06|2918,FALSE,\N,,LAB,TuTh,12:30-1:45PM,,SSC-030,Tugonon G,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL207, 08B, #1082 (TuTh 11:00-12:15)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,07,3260,Spring_2026|S/I 60|07|3260,FALSE,\N,,LAB,MW,8-9:15AM,available,LA2-106,Dehdashtinejad A,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 207, 14C, #5851 (MW 9:30-10:45AM)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,08,3261,Spring_2026|S/I 60|08|3261,FALSE,\N,,LAB,MW,11-12:15PM,available,SPA-108,Gonzalez A,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 207, 14C, #5851 (MW 9:30-10:45AM)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,09,4106,Spring_2026|S/I 60|09|4106,FALSE,\N,,LAB,F,11-1:45PM,available,SSC-030,Mauricio E,Class instruction is: Face to Face - On Campus.Must enroll in BIOL 207 LAB
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,10,4107,Spring_2026|S/I 60|10|4107,FALSE,\N,,LAB,TuTh,2-3:15PM,,LA5-151,Pysher M,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 208, 01A, #3312(TuTh 12:30-1:45)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,12,4541,Spring_2026|S/I 60|12|4541,FALSE,\N,,LAB,TuTh,11-12:15PM,available,HC-134,Pham E,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 208, 01A, #3312(TuTh 12:30-1:45)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,13,9237,Spring_2026|S/I 60|13|9237,FALSE,\N,,LAB,TuTh,8-9:15AM,available,LA5-148,Vasquez A,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 208, 07B, #3950(TuTh 9:30-10:45)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,14,5277,Spring_2026|S/I 60|14|5277,FALSE,\N,,LAB,TuTh,8-9:15AM,available,SSC-030,Desmet J,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 208, 07B, #3950(TuTh 9:30-10:45)"
Spring_2026,SI_CLASSES,,S/I 60,SUPPLEMENTAL INSTRUCTION,1,,15,5520,Spring_2026|S/I 60|15|5520,FALSE,\N,,LAB,TuTh,11-12:15PM,,SSC-030,Widofsky R,"Class instruction is: Face to Face - On Campus.Must enroll in BIOL 208, 07B, #3950(TuTh 9:30-10:45)"
